,City,Country Code,City_Number,Lat,Lng,Temp_F,Humidity (%),Cloudiness (%),Wind Speed (mph)
0,hargeysa,so,57289,9.56,44.06,76.49,38.0,36.0,6.96
1,hermanus,za,3366880,-34.42,19.24,66.34,79.0,20.0,8.99
2,codrington,ag,,,,,,,
3,amapa,br,3401225,-1.83,-56.23,93.95,52.0,20.0,4.05
4,east london,za,1006984,-33.02,27.91,60.8,93.0,40.0,3.36
5,port alfred,za,964432,-33.59,26.89,64.0,84.0,48.0,5.99
6,tura,ru,2014833,64.27,100.22,23.75,74.0,88.0,2.48
7,nikolskoye,ru,546105,59.7,30.79,35.51,55.0,0.0,4.47
8,vaini,to,4032243,-21.2,-175.2,75.2,83.0,20.0,8.05
9,busselton,au,2075265,-33.64,115.35,58.24,44.0,0.0,22.28
10,lazaro cardenas,mx,3996234,28.39,-105.62,75.0,16.0,32.0,8.99
11,ilulissat,gl,3423146,69.22,-51.1,37.4,69.0,75.0,24.16
12,nanortalik,gl,3421765,60.14,-45.24,33.65,93.0,92.0,25.86
13,busselton,au,2075265,-33.64,115.35,58.24,44.0,0.0,22.28
14,klaksvik,fo,2618795,62.23,-6.59,37.4,69.0,44.0,25.28
15,kaitangata,nz,2208248,-46.28,169.85,48.99,64.0,8.0,3.0
16,itapecerica,br,3460752,-20.47,-45.13,80.9,62.0,56.0,4.5
17,nantucket,us,4944903,41.28,-70.1,45.37,45.0,1.0,19.46
18,evensk,ru,2125693,61.92,159.24,31.49,86.0,0.0,11.54
19,hermanus,za,3366880,-34.42,19.24,66.34,79.0,20.0,8.99
20,ruatoria,nz,,,,,,,
21,henties bay,na,3356832,-22.12,14.28,62.01,84.0,0.0,5.99
22,atuona,pf,4020109,-9.8,-139.03,81.98,100.0,0.0,12.21
23,ribeira grande,pt,3372707,38.52,-28.7,60.8,59.0,20.0,13.87
24,polyarnyy,ru,506763,69.2,33.45,39.2,60.0,75.0,4.47
25,bethanien,na,3358416,-26.5,17.16,81.35,24.0,76.0,4.5
26,berlevag,no,780687,70.86,29.09,29.82,100.0,75.0,9.17
27,punta arenas,cl,3874787,-53.16,-70.91,54.55,50.0,40.0,29.97
28,busselton,au,2075265,-33.64,115.35,58.24,44.0,0.0,22.28
29,chuy,uy,3443061,-33.69,-53.46,80.9,82.0,32.0,7.4
